zip,lat,lgt
01270,42.500624814,-73.073064255
01301,42.599928279,-72.600975068
01302,42.587514,-72.597846
01330,42.522559334,-72.811617794
01331,42.584002597,-72.217964146
01337,42.683842049,-72.56250298
01338,42.587792698,-72.795719604
01339,42.629725571,-72.874938344
01340,42.678652298,-72.716662063
01341,42.517322512,-72.697423887
01342,42.541201429,-72.604432944
01343,42.665525256,-73.004685122
01344,42.595304434,-72.451094377
01346,42.656253661,-72.828549305
01349,42.575136352,-72.491762421
01350,42.722899556,-72.944552083
01351,42.544542377,-72.532873327
01354,42.630693851,-72.52095353
01355,42.509086913,-72.329920002
01360,42.685894562,-72.451135039
01364,42.589607323,-72.295791955
01366,42.487867661,-72.190353785
01367,42.700403735,-72.904495619
01368,42.67026997,-72.177508655
01370,42.602824497,-72.73427173
01373,42.476891771,-72.613036902
01375,42.453975654,-72.56604943
01376,42.599905739,-72.556739708
01378,42.66904294,-72.339331068
01379,42.540737432,-72.405843542
01380,42.556051522,-72.400463045
01420,42.579035847,-71.804455298
01430,42.653436055,-71.927501369
01431,42.675309783,-71.816395517
01432,42.559825107,-71.573400021
01434,42.541078116,-71.616071569
01436,42.605051822,-72.070652215
01438,42.539026889,-72.039148333
01440,42.574781558,-71.991484275
01450,42.608658601,-71.560768209
01451,42.508303313,-71.577664697
01452,42.486542656,-72.001674462
01453,42.526973196,-71.754895883
01460,42.539870932,-71.482929752
01462,42.588160755,-71.727545371
01463,42.668562464,-71.585785682
01464,42.563194023,-71.648002351
01468,42.554599119,-72.061462422
01469,42.657252386,-71.692979493
01473,42.550365818,-71.906584563
01474,42.67128092,-71.746517704
01475,42.678173385,-72.046414192
01501,42.204409036,-71.838426503
01503,42.374451956,-71.631896538
01504,42.028982555,-71.526547652
01505,42.337460065,-71.730822689
01506,42.194737157,-72.101117116
01507,42.138659913,-71.965161705
01508,42.128681682,-72.010375015
01509,42.138051,-71.970111
01510,42.417761948,-71.680507598
01515,42.214793338,-72.047882292
01516,42.057644321,-71.729107745
01518,42.11977556,-72.110899671
01519,42.199619233,-71.687129704
01520,42.339562,-71.843095674
01521,42.055509908,-72.158052726
01522,42.375811297,-71.8683745
01523,42.459823259,-71.688815123
01524,42.239353782,-71.918186707
01525,42.1233,-71.6233
01527,42.196354682,-71.763459774
01529,42.033575574,-71.579495877
01531,42.320553715,-72.126801304
01532,42.31751342,-71.647124773
01534,42.149217703,-71.653688075
01535,42.266941864,-72.081013001
01536,42.228074422,-71.702142754
01537,42.166559694,-71.890192589
01538,42.0885,-71.6293
01540,42.115077065,-71.867339511
01541,42.45162946,-71.876283925
01542,42.197356363,-71.907675283
01543,42.377747941,-71.952251687
01545,42.28322894,-71.717932198
01550,42.074630883,-72.033531253
01560,42.174999936,-71.681410981
01562,42.244611202,-71.989056887
01564,42.437875547,-71.768573144
01566,42.108800913,-72.078800617
01568,42.171552736,-71.610990221
01569,42.071018881,-71.631552631
01570,42.048257499,-71.865487282
01571,42.050092562,-71.915787665
01581,42.271092918,-71.61695239
01583,42.361981405,-71.78462364
01585,42.235737775,-72.157432682
01586,42.190684,-71.761879
01588,42.115831711,-71.664551944
01590,42.146673601,-71.741468127
01601,42.26281,-71.802465
01602,42.269731334,-71.842585559
01603,42.244743644,-71.837302399
01604,42.254046182,-71.77272548
01605,42.288797724,-71.788743151
01606,42.312409155,-71.795357382
01607,42.229801352,-71.795966745
01608,42.26179239,-71.800986663
01609,42.274385046,-71.816877926
01610,42.250095469,-71.809381312
01611,42.237166207,-71.873275167
01612,42.304737606,-71.920562173
01613,42.266432,-71.795367
01701,42.318674582,-71.423235883
01702,42.283609748,-71.424996394
01703,42.300073,-71.432278
01704,42.278088,-71.418888
01718,42.519744277,-71.429461798
01719,42.487490167,-71.520050828
01720,42.483856028,-71.440298803
01721,42.254505525,-71.46098919
01730,42.495596247,-71.274023763
01731,42.452738869,-71.280304227
01740,42.436844742,-71.607055445
01741,42.528291111,-71.351271508
01742,42.456659073,-71.376461982
01745,42.291951612,-71.502939584
01746,42.199528264,-71.439915967
01747,42.12604739,-71.53635102
01748,42.224022077,-71.528460546
01749,42.391436273,-71.561104232
01752,42.349334872,-71.543102018
01754,42.432798245,-71.454124757
01756,42.09762435,-71.550370005
01757,42.150496117,-71.524782005
01760,42.287004352,-71.359146937
01770,42.233611663,-71.377396633
01772,42.292873054,-71.529026251
01773,42.424113517,-71.315032996
01775,42.430930573,-71.509081413
01776,42.381309541,-71.427285054
01778,42.348325852,-71.357048267
01801,42.485272351,-71.155692004
01803,42.504842649,-71.198834082
01810,42.653558676,-71.158828549
01821,42.551562649,-71.254593231
01822,42.557599,-71.268089
01824,42.593635389,-71.356640355
01826,42.676534743,-71.317226158
01827,42.673452401,-71.49960213
01830,42.785643322,-71.071935162
01831,42.773833884,-71.082006617
01832,42.779463158,-71.109913544
01833,42.726314582,-70.981394721
01834,42.754456062,-71.023738039
01835,42.758158439,-71.085173585
01840,42.707464108,-71.159856644
01841,42.711685137,-71.166896703
01842,42.706697,-71.165897
01843,42.690487455,-71.159767399
01844,42.729071476,-71.179287113
01845,42.682102792,-71.107778154
01850,42.656498775,-71.304997062
01851,42.631660352,-71.3347629
01852,42.63558457,-71.299586222
01853,42.648231,-71.313864
01854,42.649068626,-71.336569156
01860,42.8351501,-71.003917207
01862,42.577147324,-71.2898982
01863,42.635413693,-71.386704635
01864,42.580628945,-71.093535391
01865,42.5363,-71.2548
01867,42.526106458,-71.108273524
01876,42.605229522,-71.222039903
01879,42.668397477,-71.418764013
01880,42.501938853,-71.067809148
01886,42.58828301,-71.439450288
01887,42.557759298,-71.172713717
01888,42.50648,-71.125902
01890,42.453456366,-71.143309944
01901,42.462604516,-70.944382073
01902,42.469136151,-70.940564422
01903,42.464667,-70.946234
01904,42.486989021,-70.961592163
01905,42.464283964,-70.971963498
01906,42.463417585,-71.012497426
01907,42.474636735,-70.909417389
01908,42.425818755,-70.927429886
01913,42.854601859,-70.936078238
01915,42.559579769,-70.877600434
01921,42.67728665,-71.008431329
01922,42.756096799,-70.935566208
01923,42.569502074,-70.944368994
01929,42.630852766,-70.781491318
01930,42.621956232,-70.672123539
01931,42.614359,-70.663202
01936,42.6242,-70.8478
01938,42.681200832,-70.847690895
01940,42.527233643,-71.027573915
01944,42.578536445,-70.765948355
01945,42.498800657,-70.863209354
01949,42.595948514,-71.011650508
01950,42.812628401,-70.881248504
01951,42.790755551,-70.841051762
01952,42.847622458,-70.85041807
01960,42.533094318,-70.958228978
01961,42.538385,-70.948643
01965,42.55942374,-70.826690135
01966,42.659326522,-70.619730254
01969,42.714967966,-70.90310558
01970,42.51506292,-70.90031602
01971,42.521816,-70.892898
01982,42.617683988,-70.855625587
01983,42.641255225,-70.947912938
01984,42.60204816,-70.888214946
01985,42.795512666,-70.981998633
02018,42.1851,-70.8929
02019,42.075040183,-71.47503679
02020,42.098165446,-70.653197096
02021,42.163450397,-71.131008431
02025,42.239594069,-70.812127947
02026,42.244460162,-71.166030477
02027,42.24843813,-71.17430881
02030,42.23668923,-71.283074223
02032,42.155528035,-71.216927176
02035,42.063506338,-71.242577636
02038,42.090299555,-71.40485867
02041,42.0719,-70.6608
02043,42.225805365,-70.896903042
02045,42.283953223,-70.8729915
02047,42.137711,-70.690958
02048,42.02457416,-71.215316448
02050,42.105770704,-70.70279932
02051,42.0809,-70.7084
02052,42.185727774,-71.304202083
02053,42.151982369,-71.423118079
02054,42.167448228,-71.36022944
02056,42.117759915,-71.333172277
02060,42.21932,-70.784663
02061,42.159724087,-70.815454306
02062,42.187861478,-71.203240016
02065,42.09817,-70.653207
02066,42.203611635,-70.750495304
02067,42.112763701,-71.17815863
02071,42.100912741,-71.271345488
02072,42.126838808,-71.107159562
02081,42.146021348,-71.250953814
02090,42.217567409,-71.20804018
02093,42.058888075,-71.343511295
02108,42.355626354,-71.067321168
02109,42.363259359,-71.052764827
02110,42.357552209,-71.052151382
02111,42.351776817,-71.061772222
02112,42.353171,-71.060804
02113,42.365145169,-71.05531129
02114,42.362464679,-71.06505319
02115,42.343145433,-71.090809336
02116,42.349622216,-71.07497565
02117,42.34841,-71.07407
02118,42.340601994,-71.073239019
02119,42.323832524,-71.086409736
02120,42.33306773,-71.097152657
02121,42.307906452,-71.082652658
02122,42.297221353,-71.057505432
02123,42.34483,-71.086551
02124,42.287702902,-71.072297859
02125,42.316498136,-71.059771333
02126,42.275160216,-71.091315543
02127,42.334641666,-71.044746951
02128,42.376610208,-71.03025563
02129,42.377788721,-71.062243243
02130,42.313130313,-71.11145137
02131,42.283404117,-71.128840571
02132,42.278740963,-71.157153487
02134,42.352672189,-71.132788975
